"","date","hours","low","high","volume"
"448","2021-03-01","7~8",51510929,52296405,59122410686
"449","2021-03-01","9~10",52121281,53357282,52865329118
"450","2021-03-01","11~12",52935034,53428125,60124807250
"451","2021-03-01","13~14",52427543,52985880,81890745955
"452","2021-03-01","15~16",52065635,52709793,16170999468
"453","2021-03-01","17~18",52964551,53863215,29720378024
"454","2021-03-01","19~20",53577457,54160601,23517924860
"455","2021-03-01","21~22",53919939,54498144,24050499924
"456","2021-03-01","23~24",54160164,55205942,28551974698
"457","2021-03-02","1~2",54933836,55532182,22775517946
"458","2021-03-02","3~4",54544471,55061054,12266370118
"459","2021-03-02","5~6",54700738,55349250,15012966851
"460","2021-03-02","7~8",55435379,56296192,45200122869
"461","2021-03-02","9~10",55423649,56715025,68688477574
"462","2021-03-02","11~12",55550636,56141642,113630077978
"463","2021-03-02","13~14",55264654,55805424,37709719373
"464","2021-03-02","15~16",55147581,55582659,21020460421
"465","2021-03-02","17~18",55418306,55968964,21193117038
"466","2021-03-02","19~20",55425887,55855504,15222592834
"467","2021-03-02","21~22",55506513,55870634,17725120003
"468","2021-03-02","23~24",55305252,56188872,26978926965
"469","2021-03-03","1~2",54298094,55189639,25588018697
"470","2021-03-03","3~4",54477021,55080715,31658556526
"471","2021-03-03","5~6",54553692,55069225,14697139553
"472","2021-03-03","7~8",55128492,55763218,56334373829
"473","2021-03-03","9~10",55674423,56160742,22959185131
"474","2021-03-03","11~12",55793778,56105836,56198175426
"475","2021-03-03","13~14",55819763,56315065,70153505485
"476","2021-03-03","15~16",56047962,56397277,20013502777
"477","2021-03-03","17~18",56885937,57880828,36362805344
"478","2021-03-03","19~20",57787610,58414664,33919255976
"479","2021-03-03","21~22",57906494,59367995,42640657185
"480","2021-03-03","23~24",57389856,58189879,32063453090
"481","2021-03-04","1~2",57560168,58338296,15001399622
"482","2021-03-04","3~4",57661036,58213424,11518767141
"483","2021-03-04","5~6",57584671,58199351,15021098160
"484","2021-03-04","7~8",57809764,58328209,17199573725
"485","2021-03-04","9~10",57712435,58679562,32889760222
"486","2021-03-04","11~12",57621108,58768527,33895248085
"487","2021-03-04","13~14",56423059,57297722,31246065333
"488","2021-03-04","15~16",56796471,57191704,20571057487
"489","2021-03-04","17~18",56557038,57877430,63149678399
"490","2021-03-04","19~20",56296103,56895319,28437812068
"491","2021-03-04","21~22",56370196,56998882,32292230502
"492","2021-03-04","23~24",56452552,57545106,22516926112
"493","2021-03-05","1~2",56277953,57311621,22850954679
"494","2021-03-05","3~4",55408236,56066357,21462489250
