"","date","hours","low","high","volume","fluctuation"
"345","2021-02-20","17~18",62996337,63346338,20372457682,7.03126271273778
"346","2021-02-20","19~20",63234755,64092881,23361854997,17.2391203071729
"347","2021-02-20","21~22",64485927,65491486,37616046409,20.2009408606201
"348","2021-02-20","23~24",64382103,65282770,38329028760,18.0937377141591
"361","2021-02-22","1~2",64946179,65348236,16406526772,4.67848308776137
"362","2021-02-22","3~4",65218831,65774099,14001699119,6.46130261921837
"363","2021-02-22","5~6",65270578,65660257,15980273590,4.53444812838916
"364","2021-02-22","7~8",65100591,65520897,18099612937,4.89083516189155
"365","2021-02-22","9~10",64314697,65134591,38824657008,9.54058805780529
"366","2021-02-22","11~12",64556270,65339315,26997215347,9.11179954448275
"367","2021-02-22","13~14",63129800,64531356,43890595369,16.3090209660582
"368","2021-02-22","15~16",63329855,64029912,34157383118,8.14612066191849
"369","2021-02-22","17~18",62345534,63970935,35162726819,18.9137636935321
"370","2021-02-22","19~20",60676142,62311502,47010015369,19.0296502794416
"371","2021-02-22","21~22",58414435,60849548,65695997356,28.3358702554311
"372","2021-02-22","23~24",57180352,60416031,54680909062,37.6515505983595
"373","2021-02-23","1~2",59765786,60999214,35546301357,10.6967498627814
"374","2021-02-23","3~4",59463912,60818914,26602528950,11.7510851525735
"375","2021-02-23","5~6",61098110,62558659,31460242094,12.6664282919923
"376","2021-02-23","7~8",61179695,62691820,39359478414,13.1137146929194
"377","2021-02-23","9~10",59149205,61313526,42615520507,18.7698028257546
"378","2021-02-23","11~12",56728776,58763852,53914425443,17.648941749133
"379","2021-02-23","13~14",55541239,57559986,48664085493,17.5073305415803
"380","2021-02-23","15~16",55531301,56938568,37607255890,12.2043468197144
"381","2021-02-23","17~18",51160953,55210962,64683248710,35.123195853356
"382","2021-02-23","19~20",51521489,54546153,48460164403,26.231019748992
"383","2021-02-23","21~22",52540013,55173519,51187922619,22.8387509803036
"384","2021-02-23","23~24",51996480,55315190,45476896447,28.7810968594122
"385","2021-02-24","1~2",53198156,54859732,33269080131,30.6638403951367
"386","2021-02-24","3~4",52325776,53589935,26870202264,23.3296399382728
"387","2021-02-24","5~6",52744627,54474910,29235967641,31.9318055571447
"388","2021-02-24","7~8",54254143,55162829,30184352625,16.7695022516546
"389","2021-02-24","9~10",53724758,56319541,42192362659,47.8858696635086
"390","2021-02-24","11~12",56563969,57570924,38211081675,18.5830244328787
"391","2021-02-24","13~14",56583806,57744458,35291323189,21.4194521841289
"392","2021-02-24","15~16",55569114,56783075,34246288238,22.403252303789
"393","2021-02-24","17~18",56107109,57156609,26040015607,19.3681784611092
"394","2021-02-24","19~20",56251927,56953242,21011278442,12.9425384253957
